timestamp(ms),pid_val,time,err,pwm_period,temp,
"1737669690.338","1",,,,,
"1737669690.363",,,"11.12",,,
"1737669690.396",,,,"10",,
"1737669690.416","1",,,,,
"1737669690.445",,,"11.17",,,
"1737669690.477",,,,"10",,
"1737669690.498","1",,,,,
"1737669690.527",,,"11.17",,,
"1737669690.556",,,,"10",,
"1737669690.58","1",,,,,
"1737669690.609",,,"11.12",,,
"1737669690.637",,,,"10",,
"1737669690.662","1",,,,,
"1737669690.691",,,"11.17",,,
"1737669690.719",,,,"10",,
"1737669690.744","1",,,,,
"1737669690.772",,,"11.17",,,
"1737669690.801",,,,"10",,
"1737669690.826","1",,,,,
"1737669690.85",,,"11.07",,,
"1737669690.883",,,,"10",,
"1737669690.903","1",,,,,
"1737669690.932",,,"11.07",,,
"1737669690.965",,,,"10",,
"1737669690.985","1",,,,,
"1737669691.014",,,"11.12",,,
"1737669691.043",,,,"10",,
"1737669691.067","1",,,,,
"1737669691.096",,,"11.07",,,
"1737669691.125",,,,"10",,
"1737669691.149","1",,,,,
"1737669691.178",,,"11.02",,,
"1737669691.207",,,,"10",,
"1737669691.232","1",,,,,
"1737669691.26",,,"11.07",,,
"1737669691.288",,,,"10",,
"1737669691.309","1",,,,,
"1737669691.338",,,"11.17",,,
"1737669691.37",,,,"10",,
"1737669691.391","1",,,,,
"1737669691.42",,,"11.07",,,
"1737669691.452",,,,"10",,
"1737669691.473","1",,,,,
"1737669691.501",,,"11.12",,,
"1737669691.53",,,,"10",,
"1737669691.555","1",,,,,
"1737669691.583",,,"11.07",,,
"1737669691.612",,,,"10",,
"1737669691.637","1",,,,,
"1737669691.665",,,"11.02",,,
"1737669691.694",,,,"10",,
"1737669691.718","1",,,,,
"1737669691.743",,,"11.07",,,
"1737669691.776",,,,"10",,
"1737669691.797","1",,,,,
"1737669691.825",,,"11.12",,,
"1737669691.858",,,,"10",,
"1737669691.878","1",,,,,
"1737669691.907",,,"11.17",,,
"1737669691.936",,,,"10",,
"1737669691.96","1",,,,,
"1737669691.989",,,"11.02",,,
"1737669692.018",,,,"10",,
"1737669692.042","1",,,,,
"1737669692.071",,,"11.12",,,
"1737669692.099",,,,"10",,
"1737669692.124","1",,,,,
"1737669692.153",,,"11.12",,,
"1737669692.181",,,,"10",,
"1737669692.206","1",,,,,
"1737669692.23",,,"11.07",,,
"1737669692.264",,,,"10",,
"1737669692.284","1",,,,,
"1737669692.312",,,"11.02",,,
"1737669692.345",,,,"10",,
"1737669692.366","1",,,,,
"1737669692.394",,,"11.02",,,
"1737669692.423",,,,"10",,
"1737669692.448","1",,,,,
"1737669692.476",,,"11.12",,,
"1737669692.505",,,,"10",,
"1737669692.53","1",,,,,
"1737669692.558",,,"11.02",,,
"1737669692.587",,,,"10",,
"1737669692.611","1",,,,,
"1737669692.64",,,"11.07",,,
"1737669692.669",,,,"10",,
"1737669692.689","1",,,,,
"1737669692.718",,,"11.07",,,
"1737669692.751",,,,"10",,
"1737669692.771","1",,,,,
"1737669692.8",,,"11.07",,,
"1737669692.833",,,,"10",,
"1737669692.853","1",,,,,
"1737669692.882",,,"11.12",,,
"1737669692.91",,,,"10",,
"1737669692.935","1",,,,,
"1737669692.964",,,"11.12",,,
"1737669692.992",,,,"10",,
"1737669693.017","1",,,,,
"1737669693.046",,,"11.12",,,
"1737669693.074",,,,"10",,
"1737669693.099","1",,,,,
"1737669693.123",,,"11.12",,,
"1737669693.156",,,,"10",,
"1737669693.177","1",,,,,
"1737669693.205",,,"11.12",,,
"1737669693.238",,,,"10",,
"1737669693.259","1",,,,,
"1737669693.287",,,"11.12",,,
"1737669693.316",,,,"10",,
"1737669693.341","1",,,,,
"1737669693.369",,,"11.02",,,
"1737669693.398",,,,"10",,
"1737669693.422","1",,,,,
"1737669693.451",,,"11.12",,,
"1737669693.48",,,,"10",,
"1737669693.504","1",,,,,
"1737669693.533",,,"11.12",,,
"1737669693.562",,,,"10",,
"1737669693.586","1",,,,,
"1737669693.611",,,"11.17",,,
"1737669693.644",,,,"10",,
"1737669693.664","1",,,,,
"1737669693.693",,,"11.12",,,
"1737669693.726",,,,"10",,
"1737669693.746","1",,,,,
"1737669693.775",,,"11.07",,,
"1737669693.803",,,,"10",,
"1737669693.828","1",,,,,
"1737669693.857",,,"11.07",,,
"1737669693.885",,,,"10",,
"1737669693.91","1",,,,,
"1737669693.938",,,"11.12",,,
"1737669693.967",,,,"10",,
"1737669693.992","1",,,,,
"1737669694.02",,,"10.97",,,
"1737669694.049",,,,"10",,
"1737669694.074","1",,,,,
"1737669694.098",,,"11.12",,,
"1737669694.131",,,,"10",,
"1737669694.151","1",,,,,
"1737669694.18",,,"11.12",,,
"1737669694.213",,,,"10",,
"1737669694.233","1",,,,,
"1737669694.262",,,"11.07",,,
"1737669694.291",,,,"10",,
"1737669694.315","1",,,,,
"1737669694.344",,,"11.02",,,
"1737669694.373",,,,"10",,
"1737669694.397","1",,,,,
"1737669694.426",,,"11.12",,,
"1737669694.455",,,,"10",,
"1737669694.479","1",,,,,
"1737669694.504",,,"11.07",,,
"1737669694.536",,,,"10",,
"1737669694.557","1",,,,,
"1737669694.586",,,"11.07",,,
"1737669694.618",,,,"10",,
"1737669694.639","1",,,,,
"1737669694.668",,,"11.12",,,
"1737669694.7",,,,"10",,
"1737669694.721","1",,,,,
"1737669694.749",,,"11.02",,,
"1737669694.778",,,,"10",,
"1737669694.803","1",,,,,
"1737669694.831",,,"11.02",,,
"1737669694.86",,,,"10",,
"1737669694.884","1",,,,,
"1737669694.914",,,"11.17",,,
"1737669694.942",,,,"10",,
"1737669694.967","1",,,,,
"1737669694.991",,,"11.02",,,
"1737669695.025",,,,"10",,
"1737669695.044","1",,,,,
"1737669695.073",,,"11.07",,,
"1737669695.106",,,,"10",,
"1737669695.126","1",,,,,
"1737669695.155",,,"10.97",,,
"1737669695.184",,,,"10",,
"1737669695.208","1",,,,,
"1737669695.237",,,"11.02",,,
"1737669695.265",,,,"10",,
"1737669695.29","1",,,,,
"1737669695.319",,,"11.17",,,
"1737669695.347",,,,"10",,
"1737669695.372","1",,,,,
"1737669695.401",,,"11.07",,,
"1737669695.43",,,,"10",,
"1737669695.454","1",,,,,
"1737669695.478",,,"11.12",,,
"1737669695.511",,,,"10",,
"1737669695.532","1",,,,,
"1737669695.561",,,"11.12",,,
"1737669695.593",,,,"10",,
"1737669695.614","1",,,,,
"1737669695.643",,,"10.93",,,
"1737669695.671",,,,"10",,
"1737669695.696","1",,,,,
"1737669695.724",,,"11.12",,,
"1737669695.753",,,,"10",,
"1737669695.778","1",,,,,
"1737669695.806",,,"11.17",,,
"1737669695.835",,,,"10",,
"1737669695.859","1",,,,,
"1737669695.888",,,"11.02",,,
"1737669695.917",,,,"10",,
"1737669695.937","1",,,,,
"1737669695.966",,,"11.12",,,
"1737669695.999",,,,"10",,
"1737669696.019","1",,,,,
"1737669696.048",,,"11.07",,,
"1737669696.081",,,,"10",,
"1737669696.101","1",,,,,
"1737669696.13",,,"11.02",,,
"1737669696.158",,,,"10",,
"1737669696.183","1",,,,,
"1737669696.212",,,"11.22",,,
"1737669696.24",,,,"10",,
"1737669696.265","1",,,,,
"1737669696.294",,,"11.07",,,
"1737669696.322",,,,"10",,
"1737669696.347","1",,,,,
"1737669696.372",,,"11.07",,,
"1737669696.404",,,,"10",,
"1737669696.425","1",,,,,
"1737669696.453",,,"11.12",,,
"1737669696.486",,,,"10",,
"1737669696.507","1",,,,,
"1737669696.535",,,"11.02",,,
"1737669696.564",,,,"10",,
"1737669696.588","1",,,,,
"1737669696.617",,,"11.12",,,
"1737669696.646",,,,"10",,
"1737669696.67","1",,,,,
"1737669696.699",,,"11.07",,,
"1737669696.728",,,,"10",,
"1737669696.753","1",,,,,
"1737669696.781",,,"11.07",,,
"1737669696.81",,,,"10",,
"1737669696.834","1",,,,,
"1737669696.859",,,"11.07",,,
"1737669696.892",,,,"10",,
"1737669696.912","1",,,,,
"1737669696.941",,,"11.12",,,
"1737669696.973",,,,"10",,
"1737669696.994","1",,,,,
"1737669697.023",,,"11.17",,,
"1737669697.051",,,,"10",,
"1737669697.076","1",,,,,
"1737669697.105",,,"11.02",,,
"1737669697.133",,,,"10",,
"1737669697.158","1",,,,,
"1737669697.186",,,"11.12",,,
"1737669697.215",,,,"10",,
"1737669697.24","1",,,,,
"1737669697.268",,,"11.07",,,
"1737669697.297",,,,"10",,
"1737669697.317","1",,,,,
"1737669697.346",,,"11.07",,,
"1737669697.379",,,,"10",,
"1737669697.399","1",,,,,
"1737669697.428",,,"11.07",,,
"1737669697.461",,,,"10",,
"1737669697.482","1",,,,,
"1737669697.51",,,"11.12",,,
"1737669697.539",,,,"10",,
"1737669697.564","1",,,,,
"1737669697.592",,,"11.17",,,
"1737669697.621",,,,"10",,
"1737669697.645","1",,,,,
"1737669697.674",,,"11.12",,,
"1737669697.702",,,,"10",,
"1737669697.727","1",,,,,
"1737669697.752",,,"11.07",,,
"1737669697.784",,,,"10",,
"1737669697.805","1",,,,,
"1737669697.834",,,"11.07",,,
"1737669697.866",,,,"10",,
"1737669697.887","1",,,,,
"1737669697.915",,,"11.12",,,
"1737669697.948",,,,"10",,
"1737669697.969","1",,,,,
"1737669697.998",,,"11.12",,,
"1737669698.026",,,,"10",,
"1737669698.051","1",,,,,
"1737669698.08",,,"11.07",,,
"1737669698.108",,,,"10",,
"1737669698.133","1",,,,,
"1737669698.162",,,"11.07",,,
"1737669698.19",,,,"10",,
"1737669698.215","1",,,,,
"1737669698.239",,,"11.07",,,
"1737669698.272",,,,"10",,
"1737669698.292","1",,,,,
"1737669698.321",,,"11.12",,,
"1737669698.354",,,,"10",,
"1737669698.374","1",,,,,
"1737669698.403",,,"11.07",,,
"1737669698.431",,,,"10",,
"1737669698.456","1",,,,,
"1737669698.485",,,"10.97",,,
"1737669698.513",,,,"10",,
"1737669698.538","1",,,,,
"1737669698.567",,,"11.07",,,
"1737669698.596",,,,"10",,
"1737669698.62","1",,,,,
"1737669698.649",,,"11.02",,,
"1737669698.678",,,,"10",,
"1737669698.702","1",,,,,
"1737669698.727",,,"11.07",,,
"1737669698.759",,,,"10",,
"1737669698.78","1",,,,,
"1737669698.809",,,"11.07",,,
"1737669698.841",,,,"10",,
"1737669698.862","1",,,,,
"1737669698.89",,,"11.07",,,
"1737669698.919",,,,"10",,
"1737669698.944","1",,,,,
"1737669698.972",,,"11.07",,,
"1737669699.001",,,,"10",,
"1737669699.025","1",,,,,
"1737669699.054",,,"11.07",,,
"1737669699.083",,,,"10",,
"1737669699.107","1",,,,,
"1737669699.136",,,"11.12",,,
"1737669699.165",,,,"10",,
"1737669699.186","1",,,,,
"1737669699.214",,,"11.02",,,
"1737669699.247",,,,"10",,
"1737669699.267","1",,,,,
"1737669699.296",,,"11.22",,,
"1737669699.329",,,,"10",,
"1737669699.349","1",,,,,
"1737669699.378",,,"11.02",,,
"1737669699.406",,,,"10",,
"1737669699.431","1",,,,,
"1737669699.46",,,"11.12",,,
"1737669699.488",,,,"10",,
"1737669699.513","1",,,,,
"1737669699.542",,,"11.02",,,
"1737669699.57",,,,"10",,
"1737669699.595","1",,,,,
"1737669699.619",,,"11.02",,,
"1737669699.652",,,,"10",,
"1737669699.673","1",,,,,
"1737669699.701",,,"11.02",,,
"1737669699.734",,,,"10",,
"1737669699.755","1",,,,,
"1737669699.783",,,"11.12",,,
"1737669699.812",,,,"10",,
"1737669699.836","1",,,,,
"1737669699.865",,,"11.12",,,
"1737669699.894",,,,"10",,
"1737669699.918","1",,,,,
"1737669699.947",,,"11.17",,,
"1737669699.976",,,,"10",,
"1737669700","1",,,,,
"1737669700.029",,,"11.07",,,
"1737669700.058",,,,"10",,
"1737669700.082","1",,,,,
"1737669700.107",,,"11.07",,,
"1737669700.14",,,,"10",,
"1737669700.16","1",,,,,
"1737669700.189",,,"11.07",,,
"1737669700.221",,,,"10",,
"1737669700.242","1",,,,,
"1737669700.271",,,"11.07",,,
"1737669700.299",,,,"10",,
"1737669700.324","1",,,,,
"1737669700.352",,,"11.12",,,
"1737669700.381",,,,"10",,
"1737669700.406","1",,,,,
"1737669700.434",,,"11.02",,,
"1737669700.463",,,,"10",,
"1737669700.488","1",,,,,
"1737669700.517",,,"11.17",,,
"1737669700.545",,,,"10",,
"1737669700.565","1",,,,,
"1737669700.595",,,"11.02",,,
"1737669700.627",,,,"10",,
"1737669700.648","1",,,,,
"1737669700.676",,,"11.12",,,
"1737669700.709",,,,"10",,
"1737669700.73","1",,,,,
"1737669700.758",,,"11.02",,,
"1737669700.787",,,,"10",,
"1737669700.811","1",,,,,
"1737669700.84",,,"11.07",,,
"1737669700.868",,,,"10",,
"1737669700.893","1",,,,,
"1737669700.922",,,"11.02",,,
"1737669700.95",,,,"10",,
"1737669700.975","1",,,,,
"1737669701",,,"11.12",,,
"1737669701.032",,,,"10",,
"1737669701.053","1",,,,,
"1737669701.081",,,"11.07",,,
"1737669701.115",,,,"10",,
"1737669701.135","1",,,,,
"1737669701.163",,,"11.12",,,
"1737669701.192",,,,"10",,
"1737669701.217","1",,,,,
"1737669701.246",,,"11.02",,,
"1737669701.274",,,,"10",,
"1737669701.299","1",,,,,
"1737669701.327",,,"11.07",,,
"1737669701.356",,,,"10",,
"1737669701.381","1",,,,,
"1737669701.409",,,"10.97",,,
"1737669701.438",,,,"10",,
"1737669701.463","1",,,,,
"1737669701.487",,,"11.12",,,
"1737669701.52",,,,"10",,
"1737669701.54","1",,,,,
"1737669701.569",,,"10.97",,,
"1737669701.602",,,,"10",,
"1737669701.622","1",,,,,
"1737669701.651",,,"11.12",,,
"1737669701.679",,,,"10",,
"1737669701.704","1",,,,,
"1737669701.733",,,"11.02",,,
"1737669701.761",,,,"10",,
"1737669701.786","1",,,,,
"1737669701.815",,,"11.12",,,
"1737669701.843",,,,"10",,
"1737669701.868","1",,,,,
"1737669701.897",,,"11.02",,,
"1737669701.925",,,,"10",,
"1737669701.95","1",,,,,
"1737669701.975",,,"11.07",,,
